quenya,english,eldamo-link,other-links,word-keys
I naukor váner i rottollo.,The dwarves departed from the cave.,2.2,,"nauko, auta-, rotto, -(e)llo"
I hesto tolunë ara raxarya.,The captain stood up beside his/her wagon.,2.2,,"hesto, tolu-, ara, raxa, -(r)ya"
I tië mennë et i nandollo.,The road went out from the valley.,2.2,,"tie, men-, nan(do), -(e)llo"
Sí anyëan i mindon.,Now I am arriving at the tower.,2.2,,"anya-, mindon"
Táral nu i telumë.,You are standing under the roof.,2.2,,"tar-, telumë"
I sírë kelu nu i yanta.,The river flows under the bridge.,2.2,,"sírë, kelu, yanta"
I atan mennë i ostonna.,The man went to the city.,2.2,,"atan, men-, osto, -(e)nna"
Autëas i taurello.,He/she is departing from the forest.,2.2,,"auta-, taurë, -(e)llo"
I orkor marir nu i oron.,The orcs dwell under the mountain.,2.2,,"orko, mar-, oron"
I hesto tultanë elda.,The captain sent for an elf.,2.2,,"hesto, tulta-, elda"
I sírë latë ara nórelya.,The river lies beside your country.,2.2,,"sírë, lat-, nórë"
Mallë tulya ni i mindonello.,A street leads me from the tower.,2.2,,"mallë, tulya-, mindon"
I noirë harë ambossë.,The tomb sits on a hill.,2.2,,"noirë, har-, ambo"
Nauko hárua köalyassë or mi köalya.,A dwarf is sitting down in your house.,2.2,,"nauko, har-, koa"
I mindon tára ar’ ailin.,The tower is standing by a lake.,2.2,,
I aran lendë Endorenna.,The king traveled to Middle-earth.,2.2,,
Meldonya tyelka.,My friend [is] hasty.,2.3,,
I nitya nauko nís.,The small dwarf [is] a woman.,2.3,,
I oronti aiquë.,The mountains [are] steep.,2.3,,
Seldolya senna quén.,Your boy [is] a short person.,2.3,,
I netti náner márë meldi.,The girls were good friends.,2.3,,
Nanyë lenka sí.,I am slow now.,2.3,,
Nauval qualin.,You will be dead.,2.3,,
I raika sírë i kelu ar’ i osto núra ná.,The crooked river that flows by the city is deep.,2.3,,
I aiwi i atani fárëar lintë nár.,The birds that men are hunting are swift.,2.3,,
Quilda ná.,It is quiet.,2.3,,
Hínarya nitya.,His/her child is small.,2.3,,
I núra nando náha.,The deep valley is narrow.,2.3,,
I neri meldor.,The men [males] are friends.,2.3,,
Térë síri yánë.,Straight rivers are wide.,2.3,,
I hallë mindoni náner raikë.,The tall towers were crooked.,2.3,,
Nauvan polda.,I will be burly.,2.3,,
I periandi nauvar tiukë.,The halflings will be fat.,2.3,,
Urra ná.,It is bad.,2.3,,
I perian i nóra i tauressë linta ná.,The halfling who is running in the forest is swift.,2.3,,
I eldar i tírar i aran quildë nár.,The elves who are watching the king are quiet.,2.3,,
I nissi marir i ostossë.,The women are in the city [semi-permanently].,2.3,,
I köa harë i ambossë.,The house is on the hill.,2.3,,
I tië latë nu i yanta.,The road is under the bridge.,2.3,,
I elda serë i köassë. Alternately harë.,The elf is in the house [temporarily].,2.3,,
I mindoni tarir i tauressë.,The towers are in the forest.,2.3,,
I kirya luntë et i ëarello ar mí londenna.,The ship sailed out of the sea and in to the harbour.,2.4,,
I nér i hára i falassessë kiryamo ná.,The man [male] that is sitting on the shore is a sailor.,2.4,,
I tyulma tára halla i luntessë.,The mast is standing tall on the boat.,2.4,,
Kiryar lutir ëaressë mal aiwi vilir vilyassë.,Ships sail on [the] sea but birds fly in [the] sky.,2.4,,
Isil sílë i ambonna.,The moon shone on the hill.,2.4,,
Lauka hwesta i ostossë mára ná.,A warm breeze in the city is good.,2.4,,
Anar kála ar i aiwi vílar vilyassë.,The sun is shining and the birds are flying in the sky.,2.4,,
Lumbor lutir fanyaressë.,Dark clouds float in the sky.,2.4,,
Falma i ailinessë nitya ná mal falma i ëaressë höa ná.,"A wave on the lake is small, but a wave on the sea is large.",2.4,,
I súrë turwa sí.,The wind is strong now.,2.4,,
Atan hya nauko tirë kemen mal elda tirë menel.,A man or a dwarf watches the earth but an elf watches the sky.,2.4,,
I nissi túler i tollenna yassë i eldar marir.,The women came to the island where (= on which) the elves live.,2.4,,
Lëa melë Oren ar Oren melë Lëa.,Lëa loves Oren and Oren loves Lëa.,2.5,,
Lëa ar Oren vestaner i tauressë.,Lëa and Oren married in the forest.,2.5,,
"Nosserya túlë i veryanwenna, mal nossë Oreno vánë i taurello.","Her family came to the wedding, but Oren’s family left the forest.",2.5,,
Atarya tarnë ara Lëa.,More literally: ... the family of Oren departed from the forest.,2.5,,
Amillë Lëo tirnë i ambollo.,Her father stood beside Lëa.,2.5,,
Nilderya Kissë nánë tanomë yú.,Lëa’s mother (or the mother of Lëa) watched from the hill.,2.5,,
I vesta nánë mára.,Her [casual] friend Cissë was there also.,2.5,,
Lëa ar Oren ontaner yondo Miro.,Lëa and Oren conceived [begat] a son Miro.,2.5,,
Lëa mélë i yondo veruryo.,Lëa loved the son of her husband.,2.5,,
Tá Lëa nostanë yeldë Tilë.,Then Lëa gave birth to a daughter Tilë.,2.5,,
Tilë melë hánorya Miro.,Tilë loves her brother Miro.,2.5,,
Miro tirë nésarya Tilë yá nostaryar menir i ostonna.,Miro watches his sister Tilë when his parents go to the city.,2.5,,
Essenya Lëa.,My name [is] Lëa.,3.1,,
Elerondo nyarnë i lúmequenta eldaron andanéya Arakornon.,Elrond told the history of Elves long ago to Aragorn.,3.1,,
I nettë téka tengwar tekilmen.,The girl is writing letters with a pen.,3.1,,
I atan quéta i neren.,The man [human] is speaking to the man [male].,3.1,,
Yallen yeldenya ómanyanen.,I called my daughter with my voice.,3.1,,
Estëan yondonya Miro.,I am naming my son Miro.,3.1,,
Tenkel parma hyalinwen.,You wrote a book with paper.,3.1,,
I nís henta parmar i aranen.,The woman reads books to the king.,3.1,,
I nettë quentë quetta amilleryan.,The girl spoke a word to her mother.,3.1,,
I nauko antanë tekil i seldon.,The dwarf gave a pen to the boy.,3.1,,
Liltëaldë i ambossen.,You (plural) are dancing on the hills.,3.2,,
Nyarnetyë lairetya ar nánes mára.,You (familiar) recited your poem and it was good.,3.2,,
Simpalya lirë nin.,Your (polite) flute sings to me.,3.2,,
Lindalë yalë fëalvar.,Music calls our spirits.,3.2,,
Túvelmë i orko ar tíralmes sí.,We (but not you) found the orc and we (but not you) are watching him/her now.,3.2,,
"Lírelvar lairi eldaron nár, ar nanta márë.","Our (including you) songs are poems of elves, and they (inanimate) are good.",3.2,,
Tekilya nánë linta ar liltanes i hyalinessë.,His pen was swift and it danced on the paper.,3.2,,
Yondonta lírua ven.,Their son is singing gaily to us (including you).,3.2,,
Samityë luine nyellë.,You (familiar) have a blue bell.,3.2,,
Tompaldar yálar te.,Your (plural) drums are calling them.,3.2,,
Lirnelmë aranelvan.,We (but not you) sang for our (including you) king.,3.2,,
I lindo sámë nandenya.,The singer had my harp.,3.2,,
Aiya! Ma tékal parma?,Hail! Are you writing a book?,3.3,,
Ná. Nauvas mára.,Yes. It will be good.,3.3,,
"A, merin henta sa.","Oh, I want to read it.",3.3,,
"Á anta i tekil nin, mekin.","Give the pen to me, please.",3.3,,
Káran sa sí.,I am doing it now.,3.3,,
Hantan lyen. Márienna.,Thank you. (Go) to happiness.,3.3,,
"Máriessë. Mára ná i túlel, tar.","(Stay) in happiness. It is good that you came, sir.",3.3,,
"Ná, hesto. Kenin i karnel i makil.","Yes, captain. I see that you made the sword.",3.3,,
"Ela! Karnenyes lyen, araninya.","Behold! I made it for you, my king.",3.3,,
Fastas ni mai.,It pleases me well.,3.3,,
"Antëanyes lyen, araninya.","I am giving it to you, my king.",3.3,,
Merin fara orkor sanen. Namárië!,I want to hunt orcs with it. Farewell!,3.3,,
Á tulë i taurenna lúmessë andúnëo.,Come to the forest at the hour of sunset.,3.4,,
Kenuvan amillenya enar.,I will see my mother tomorrow.,3.4,,
Merin serë lómessë.,I want to rest at night.,3.4,,
Isil oryuva amba rómenessë.,The moon will rise up in the east.,3.4,,
Nai Anar kaluva tyenna síra.,May the Sun shine on you (familiar) today.,3.4,,
"Yá kenin Valinorenna, formen forya ar hyarmen hyarya.","When I look towards Valinor, north [is] right and south [is] left.",3.4,,
Nai ambarónë lauka len (ná).,May the dawn be warm for you (plural).,3.4,,
I oron haiya mal kenuvalves i arinessë.,The mountain is far away but we (including you) will see it in the morning.,3.4,,
Á harë ré i rottossë.,Stay a day (24 hours) in the cave.,3.4,,
Isil menuva undu númenessë.,The Moon will go down in the west.,3.4,,
Anar kalë i auressë.,The Sun shines in the day.,3.4,,
Túlen i mindonenna nöa.,I came to the tower yesterday.,3.4,,
I atan hirnë i osto.,The man found the city.,4.1,,
Isil síla sí or tië.,The moon is shining now above a road.,4.1,,
I perian matuva aiwë enar.,The halfling will eat a bird tomorrow.,4.1,,
I nís merë marë mi taurë.,The woman wants to live in a forest.,4.1,,
I nauko fárëa i orkor nu i oron.,The dwarf is hunting the orcs under the mountain.,4.1,,
Aiwi vilir nu menel.,Birds fly under the heavens/sky.,4.1,,
Ninqui axor naukoron kaitar nu i oron.,[The] white bones of dwarves lie under the mountain.,4.2,,
Luini aiwi vílar or i andë tiër.,Blue birds are flying above the long roads.,4.2,,
I atano serkë karnë.,The man’s blood [is] red.,4.2,,
Kalmar kálar laurië i ostossë.,Lamps are shining golden[ly] in the city.,4.2,,
Kenin varni leperi máryo.,I see [the] brown fingers of his/her hand.,4.2,,
Mornë homi orquion serir amborintassë.,[The] black hearts of orcs rest in their chest.,4.2,,
I serkë-quilië mindoni tarir i ambossen.,The blood-coloured towers stand on the hills.,4.2,,
Híni samir nityë piri.,Children have little toes.,4.2,,
Turkë ranqui karir turwë atani.,Strong arms make powerful men.,4.2,,
I hesto kirnë i orquion telqui or telqui i orquion.,The captain cut the orcs’ legs.,4.2,,
Nékë fánë fanyar vilir fanyaressë.,Pale white clouds fly in the sky.,4.2,,
I sindë eldar marir laikë tauressen.,The grey elves dwell in green forests.,4.2,,
I nér maxëa apsa.,The man [male] is cooking meat.,4.3,,
I seldo antanë yávi i netten.,The boy gave fruits to the girl.,4.3,,
Amillenya mastëa massa sí.,My mother is baking bread now.,4.3,,
Atarelya nankë i orva.,Your father bit the apple.,4.3,,
Eldar karir miruvórë nehtenen.,Elves make mead with honey.,4.3,,
Quëar ar yávi mára matta (nár).,Vegetables and fruits are good food.,4.3,,
I veru ulyanë limpë veriryan.,The husband poured wine for his wife.,4.3,,
Á anta nin yulma neno.,Give [to] me a cup of water.,4.3,,
Matuvalvë mat ó i periandi síra.,We [and you] will eat a meal [together] with the halflings today.,4.3,,
Merin yulda limpëo sí.,I want a drink of wine now.,4.3,,
Lável mánya lambalyanen.,You licked my hand with [by means of] your tongue.,4.3,,
I nís mantë kuluma.,The woman ate an orange.,4.3,,
Nís rendë erdi restaryassë.,A woman sowed seeds in her field.,4.4,,
Olvali alaner lintë tanomë.,Some plants grew swift[ly] there.,4.4,,
I nís nemnë alassëa restaryassë.,The woman seemed happy in her field.,4.4,,
Matta launë i nissen.,Food abounded to the woman (= the woman had lots of food).,4.4,,
I nís mastanë massa.,The woman baked bread.,4.4,,
Nettë kambë massa i nissello.,A girl received bread from the woman.,4.4,,
Seldoli rapper i massa i nettello.,Some boys snatched the bread from the girl.,4.4,,
I nettë lakkë telko seldo.,The girl kicked the leg of a boy.,4.4,,
I seldor hlasser i nettë yalë i hesto.,The boys heard the girl call the captain.,4.4,,
Nirnentë i nettë öa ar nornentë i hestollo.,They pushed the girl away and they ran from the captain.,4.4,,
I hesto kensë i osto i seldoin.,The captain searched the city for the boys.,4.4,,
I telumë tumpë i híni.,The roof covered the children.,4.4,,
Kalali kálar i ostossë.,Some lights are shining in the city.,4.5,,
Uluva enar.,[It] will rain tomorrow.,4.5,,
I taurë lauka síra.,The forest [is] warm today.,4.5,,
I rottossë morë ná.,In the cave [it] is dark.,4.5,,
Hrísa ar i lossë ringa.,[It] is snowing and the snow [is] cold.,4.5,,
Nikunë nöa.,[It] was cold yesterday.,4.5,,
Nárë úra.,Fire [is] hot.,4.5,,
Nén linquë.,Water [is] wet.,4.5,,
Helkë ringa.,Ice [is] cold.,4.5,,
"Á tinta nárë, mekin.","Light [kindle] a lamp, please.",4.5,,
I vista lauka i koässë.,The air is warm in the house.,4.5,,
Olvar alar kemenessë.,Plants grow in the earth.,4.5,,
Hendunya tírat i orko atta.,My (pair of) eyes are watching the two orcs.,5.2,,
I nauko fanga ninquë yo sinda.,The dwarf’s beard [is] both white and grey.,5.2,,
Súlerya autëa peu i atano lenka.,His/her breath is leaving the man’s [human’s] lips slow[ly].,5.2,,
I hínat samit laurëa findë.,The pair of children have golden hair.,5.2,,
I elda nustanë i nísima hwesta.,The elf smelled the fragrant breeze.,5.2,,
Hlarin hlón i tauressë.,I hear a noise in the forest.,5.2,,
Ma hlarulya hlaret i arano quettar?,Do your ears hear the king’s words?,5.2,,
I aiwet lirnet i aldassë.,The pair of birds sang in the tree.,5.2,,
Lambarya tyávë sára quëa.,His tongue tasted a bitter vegetable.,5.2,,
Aiwi vilir or nór yo ëar.,Birds fly above both land and sea.,5.2,,
I perian mantë lissë orva ar’ i aldu.,The halfling ate a sweet apple beside the pair of trees.,5.2,,
Nustan saura orko.,I smell a stinking orc.,5.2,,
I perian álëa matta liëryan.,The halfling is growing food for his/her people.,5.3,,
I nettë kirnë salquë ataryan.,The girl cut grass for her father.,5.3,,
I erdi tuianer úrenen Anaro.,The seeds sprouted in [by means of] the heat of the Sun.,5.3,,
I nís tiruva hínali i naukoin.,The woman will watch (some) children for the dwarves.,5.3,,
I hesto quentë i aranen.,The captain spoke to the king.,5.3,,
Lóti márë nin (nár).,Flowers (are) good to me = I like flowers.,5.3,,
I naukor sapir malta aranintan.,The dwarves dig gold for their king.,5.3,,
Lóti lostar auressë.,Flowers bloom in daytime.,5.3,,
Tarwa mára olvain (ná).,A garden [is] good for plants.,5.3,,
I eldar antaner makilli i atanin.,The elves gave some swords to the men.,5.3,,
Alda aluva i restassë.,A tree will grow in the field.,5.3,,
I nér maxanë mat i perianden.,The man [male] cooked a meal for the halfling.,5.3,,
Akápien minna i sírë.,I have jumped into the river.,5.4,,
I kirya ulútië i londessë.,The ship has floated in the harbour.,5.4,,
I aran orortanië makilya.,The king has raised his sword.,5.4,,
I sírë ekélië i orontello.,The river has flowed from the mountain.,5.4,,
I nauko ihílië i atan.,The dwarf has followed the man.,5.4,,
I köa atalantië i lómessë.,The house has collapsed in the night.,5.4,,
I elda onórië i taurenna.,The elf has run to the forest.,5.4,,
I seldo inírië i nettë.,The boy has pushed the girl.,5.4,,
I atan apátië i ostonna.,The man has walked to the city.,5.4,,
Alanties i tarwassë.,He/she has fallen in the garden.,5.4,,
I nér orórië i arinessë.,The man [male] has risen in the morning.,5.4,,
I hesto ahyaltië i nyellë.,The captain has struck the bell.,5.4,,
I nauko ui halla,The dwarf is not tall.,5.5,,
Únen verya.,I was not brave.,5.5,,
I atani uir laituva i aran.,The men will not praise the king.,5.5,,
Áva menë i ostonna síra.,Do not go to the city today.,5.5,,
Ván! Ván menuva i ostonna.,I won’t! I will not go to the city.,5.5,,
I aran váquentë i voronda hesto auta.,The king forbade the loyal captain to leave.,5.5,,
I orko ui vanima.,The orc is not beautiful.,5.5,,
Áva verya i raxë i rottossë.,Do not dare the danger in the cave.,5.5,,
Ván! Ván karuva ulka nat.,I won’t! I will not do an evil thing.,5.5,,
I aran úne manë.,The king was not good [moral].,5.5,,
I seldo oluva maira.,The boy will become admirable.,5.5,,
I seldo aptanë menë i ostonna.,The boy refused to go to the city.,5.5,,
Ohta túlë i nórenna.,War came to the land.,6.1,,
I hesto tirnë i kottor i ambollo.,The captain watched the enemies from the hill.,6.1,,
Kánor i orkoron kostaner (or orquion).,The commanders of the orcs quarrelled.,6.1,,
I hesto ortanë ehtirya ar yallë i ohtari.,The captain raised his/her spear and called the warriors.,6.1,,
I ohtari mahtaner i orkor makilínen (or orqui).,The warriors fought the orcs with swords.,6.1,,
Varyanentë i hesto sandainen.,They protected the captain with shields.,6.1,,
I roqueni turuner i kottor ar rehtaner i eldar.,The knights defeated the enemies and rescued the elves.,6.1,,
I taurë nánë varna ar rainë entúlë.,The forest was safe and peace returned (“to return” =entul-).,6.1,,
Aiweli viller vilyassë.,Some birds flew in the sky (or in the air).,6.2,,
Rákali fárëar lopoldi.,Some wolves are hunting rabbits.,6.2,,
Alquali lútar i ailinessë.,Some swans are floating in the lake.,6.2,,
Porokéli ontaner ohteli.,Some chickens birthed (or laid) some eggs.,6.2,,
Rauroli amátier mámali.,Some lions have eaten some sheep.,6.2,,
Leukali serir salquessë.,Some snakes rest in grass.,6.2,,
Lamneli farar ar lamneli uir fara.,Some animals hunt and some animals do not hunt.,6.2,,
Lingwili matir ëaruilë.,Some fish eat seaweed (ëaruilë).,6.2,,
Miuyeli roitëar nyarroli.,Some cats are chasing (roita-) some rats.,6.2,,
Huoli tirner i yaxi.,Some dogs watched the cows.,6.2,,
Rokkoli onórier i sírinna.,Some horses have run to the river.,6.2,,
Morkoli mahtaner i urulókë.,Some bears fought the dragon.,6.2,,
Ohtaro hesto.,A warrior’s captain.,6.3,,
I eldava köa.,The elf’s house.,6.3,,
Arano ohtari.,A king’s warriors.,6.3,,
Ohtarwa makil.,A warrior’s sword.,6.3,,
Yávi aldaron.,Fruits of trees.,6.3,,
Yesta’n aurëo.,Beginning of the day.,6.3,,
Mindoni ohto.,Towers of war.,6.3,,
Ohtarívë makili.,Warriors’ swords.,6.3,,
I arano alkar or i aranwa alkar.,The king’s glory.,6.3,,
Köa alassëo or köa alasseva.,A house of joy (alassë).,6.3,,
Kennelvë i aran ep’ ambarónë.,We (and you) saw the king after dawn.,6.3,,
I yára elda quéta i nessa atanen sí.,The old elf is speaking to the young man now.,6.3,,
Andúnë metta i aurëo (ná).,Sunset (is) the end of the day.,6.3,,
Á pusta!,Stop!,6.3,,
Meluvan lye oialë.,I will love you forever.,6.3,,
Tarnes nó i köa.,He/she stood at the back of the house.,6.3,,
Kennen nís. I nís nánë halla.,I saw a woman. The woman was tall.,6.4,,
Altáriel Saila.,Altáriel [Galadriel] the Wise.,6.4,,
Ranko orko.,The arm of an orc.,6.4,,
Á yalë i hesto.,Call the captain.,6.4,,
Telda atan.,The last man.,6.4,,
I tyulma nirë kirya.,The mast pushes a ship.,6.4,,
Eleni silir menelessë.,Stars shine in the heavens.,6.4,,
Quetuvantë i aranen.,They will speak to the king.,6.4,,
Túves kumna rotto.,He/she found an empty cave.,6.4,,
I elda eressëa rimbessë.,The elf [is] lonely in a crowd.,6.4,,
Ui métima nótë.,It is not [the] last number.,6.4,,
Ilyë atani túler síra.,All [the] men came today.,6.4,,
Samilvë fárëa massa.,We (and you) have enough bread.,6.4,,
"Á quanta i yulma, mekin.","Fill the cup, please.",6.4,,
Rauro atta tirnet i máma,Two lions watched the sheep.,6.5,,
I hesto quéta i ohtarin neldë.,The captain is speaking to the three warriors.,6.5,,
Atani yuquain tarir i andossë.,Twenty men stand at/in the gate.,6.5,,
Á anta min makil nin.,Give one sword to me.,6.5,,
Yúyo nauko lórat mí mindon.,Both dwarves are sleeping in the tower.,6.5,,
Minya elda tarnë ar’ i ailin.,[The] first elf stood by the lake.,6.5,,
Issë qualuva makilmen.,Even he/she will die from [by means of] a sword.,7.1,,
Merin i elyë hiruva rainë.,I want that even you will find peace.,7.1,,
Intë lorir lómessë.,Even they sleep at night.,7.1,,
Mo koinë sina rottossë.,Someone lived in this cave.,7.1,,
I orkor nakanter sé mal ú hyé.,The orcs slew him/her but not him/her [the other].,7.1,,
I nauko kennë i nér ar hye sérë i köassë.,The dwarf saw the man [male] and he [the man] rested in the house.,7.1,,
Elvë uir alfírimë.,Even we (including you) are not immortal.,7.1,,
Antuvan elden massali.,I will give even you (plural) some bread.,7.1,,
Túventë ma nöa.,They discovered something yesterday.,7.1,,
Merin i mo rehta inyë.,I want that someone save even me.,7.1,,
I hesto quentë i ohtaren ar hye mennë i ostonna.,The captain spoke to the warrior and he [the warrior] went to the city.,7.1,,
I hesto quentë i ohtaren ar mennes i ostonna.,The captain spoke to the warrior and he [the captain] went to the city.,7.1,,
I ronyo merë roita lopoldi.,The hunting dog wants to chase rabbits.,7.2,,
Polil hlikë tuvë farna i tauressë.,You can sneak to discover prey in the forest.,7.2,,
Nurtaitas rehtanë i hína.,To hide [or hiding] him/her saved the child.,7.2,,
Á telya faraitalyas enar.,Finish your hunting it tomorrow.,7.2,,
Farië lamni anta matta lienyan.,Hunting animals gives food to my people.,7.2,,
Mennelmë i taurenna rembien.,We [but not you] went to the forest for trapping.,7.2,,
I quessi aiwion (nár) márë pilin karien.,The feathers of birds are good for arrow making.,7.2,,
I mundo rassë ui anda.,The bull’s horn is not long.,7.2,,
Polin norta rokko ilya aurë.,I can ride a horse every day.,7.2,,
Aiwëo ráma samë quesseli.,A bird’s wing has some feathers.,7.2,,
Hirnen quingarya nu i alda.,I found her bow under the tree.,7.2,,
Hiritanyas tana i nás raxessë.,My finding it shows that she is in danger.,7.2,,
Mennelmë endenna i taurëo.,We [but not you] went to the centre of the forest.,7.3,,
I osto harë imbi ambor.,The city sits among hills.,7.3,,
I orkor ménar minna i rotto.,The orcs are going into the cave.,7.3,,
Kenuvan i hesto lómessë.,I will see the captain at night.,7.3,,
I atani túler et i mindonillon.,The men came out of the towers.,7.3,,
I atani nakanter orkor makilínen.,The men slew orcs with [by means of] swords.,7.3,,
I elda mennë ó i naukor i mindonna.,The elf went with the dwarves to the tower.,7.3,,
I nissi túlar tanomello.,The women are coming from there.,7.3,,
I nér tenkë i quenta tekilmen.,The man [male] wrote the story with a pen.,7.3,,
I aran apátië sundollo inganna i mindono.,The king has walked from the base to the top of the tower.,7.3,,
I köa harë endessë osto.,The house sits in the centre of a city.,7.3,,
Tárië i oronto tirë or i nando.,The height of the mountain watches above the valley.,7.3,,
