quenya,english,type,eldamo-link,other-links
luinë (luini-),blue,adj,4.2.4,
malina,yellow,adj,4.2.4,
mísë (mísi-),grey,adj,4.2.4,
morna,black,adj,4.2.4,
néka,"pale, dim",adj,4.2.4,
ninquë (ninqui-),white; chill,adj,4.2.4,
quilë,colour,n,4.2.4,
sinda,grey,adj,4.2.4,
varnë (varni-),brown,adj,4.2.4,
apsa,meat (cooked),n,4.3.4,
kuluma,orange (fruit),n,4.3.4,
lamba,tongue (physical),n,4.3.4,
lav-,to lick,v,4.3.4,
limpë,wine,n,4.3.4,
massa,bread,n,4.3.4,
masta-,to bake,v,4.3.4,
mat (matt-),meal,n,4.3.4,
mat-,to eat,v,4.3.4,
matta,food,n,4.3.4,
maxa,to cook,v,4.3.4,
miruvórë,"mead, nectar-drink",n,4.3.4,
nak-,to bite,v,4.3.4,
nehtë,honey,n,4.3.4,
nén (nen-),water,n,4.3.4,
orva,apple,n,4.3.4,
quëa,vegetable,n,4.3.4,
ulya-,to pour,v,4.3.4,
yávë,fruit,n,4.3.4,
yul-,to drink,v,4.3.4,
yulda,drink,n,4.3.4,
yulma,cup,n,4.3.4,
ala-,"to flourish, grow",v,4.4.4,
kaita-,"to lie (down); to lay, place",v,4.4.4,
kav-,to receive,v,4.4.4,
kes-,"to search, examine",v,4.4.4,
koita-,to live (is alive),v,4.4.4,
hlar-,to hear,v,4.4.4,
lah-,to kick,v,4.4.4,
lauta-,to abound,v,4.4.4,
nem-,to seem,v,4.4.4,
nir-,"to press, push",v,4.4.4,
pas-,to smooth,v,4.4.4,
raf-,to snatch,v,4.4.4,
rer-,to sow,v,4.4.4,
tup-,to cover,v,4.4.4,
virya-,to change,v,4.4.4,
vista-,to change (something),v,4.4.4,
erdë,seed,n,4.4.4,
öa,away,adv,4.4.4,
olva,plant,n,4.4.4,
resta,field (tilled),n,4.4.4,
telumë,roof,n,4.4.4,
kala,light,n,4.5.3,
kalima,bright,adj,4.5.3,
kemen,earth,n,4.5.3,
helkë,ice,n,4.5.3,
hris,to snow (impersonal),v,4.5.3,
lauka,warm,adj,4.5.3,
lossë,snow; snow-white; (white) blossom,"n, adj",4.5.3,
morë (mori-),dark,adj,4.5.3,
mornië,darkness,n,4.5.3,
nárë,fire,n,4.5.3,
nén (nen-),water,n,4.5.3,
niqu-,"to be cold, freeze",v,4.5.3,
ringa,cold,adj,4.5.3,
ringë (ringi-),cold,n,4.5.3,
sar (sarn-),(small) stone,n,4.5.3,
tinta-,to kindle,v,4.5.3,
ul-,to rain (impersonal),v,4.5.3,
ulo (ulu-),rain,n,4.5.3,
úra,hot (unpleasantly),adj,4.5.3,
úrë,heat,n,4.5.3,
vista,air (as a substance),n,4.5.3,
kirya,ship,n,4.6,
fairë,"spirit, phantom",n,4.6,
hresta,"shore, beach",n,4.6,
maiwë,gull,n,4.6,
man,who,pron,4.6,
métima,"last, ultimate",adj,4.6,
ve,"as, like",prep,4.6,
yaimë,wail,n,4.6,
yaimëa,wailing,adj,4.6,
anka,jaws,n,5.2.4,
anto,mouth,n,5.2.4,
kas (kar-),head; top,n,5.2.4,
fanga,beard,n,5.2.4,
findë,hair,n,5.2.4,
hen (hend-),eye,n,5.2.4,
hlas (hlar-),ear,n,5.2.4,
lamba,tongue (physical),n,5.2.4,
lango,"neck, throat",n,5.2.4,
nelet (nelk-),tooth,n,5.2.4,
nengwë (nengwi-),nose,n,5.2.4,
peu,lips (as a pair),n,5.2.4,
pé,(closed) mouth,n,5.2.4,
pempë,a lip,n,5.2.4,
súlë,breath; (movement of) spirit,n,5.2.4,
appa-,to touch,v,5.2.4,
ken-,"to see, look",v,5.2.4,
hlar-,to hear,v,5.2.4,
hlón (hlon-),noise,n,5.2.4,
láma,sound,n,5.2.4,
lasta-,to listen,v,5.2.4,
lissë (lissi-),sweet,adj,5.2.4,
naxa,sour,adj,5.2.4,
nísima,fragrant,adj,5.2.4,
nusta-,to smell,v,5.2.4,
palta-,"to feel, stroke",v,5.2.4,
saura,"stinking, vile",adj,5.2.4,
sára,bitter,adj,5.2.4,
tana-,to show,v,5.2.4,
tyav-,to taste,v,5.2.4,
tyávë,taste,n,5.2.4,
tir-,to watch,v,5.2.4,
ala-,"to flourish, grow (plants)",v,5.3.2,
alda,tree,n,5.3.2,
erdë,seed,n,5.3.2,
lassë,leaf,n,5.3.2,
losta-,to bloom,v,5.3.2,
lótë,flower,n,5.3.2,
olva,plant,n,5.3.2,
ornë,(tall) tree,n,5.3.2,
rer-,to sow,v,5.3.2,
resta,field (tilled),n,5.3.2,
salquë,grass,n,5.3.2,
sap-,to dig,v,5.3.2,
tarwa,garden,n,5.3.2,
tuia,to sprout,v,5.3.2,
kap-,to jump,v,5.4.2,
kelu-,to flow (forth),v,5.4.2,
hat-,to throw,v,5.4.2,
hilya-,to follow,v,5.4.2,
hyalta-,"to strike, make ring",v,5.4.2,
lah-,to kick,v,5.4.2,
lanta-,to fall,v,5.4.2,
lev-,to move (intr.),v,5.4.2,
lut-,"to float, sail",v,5.4.2,
nir-,"to press, push",v,5.4.2,
nor-,to run,v,5.4.2,
orya-,to rise,v,5.4.2,
orta-,"to raise, lift",v,5.4.2,
pata-,to walk,v,5.4.2,
sirya-,to flow,v,5.4.2,
talta-,"to collapse, fall (down)",v,5.4.2,
apta-,to refuse,v,5.5.5,
áva,don't,interj,5.5.5,
ëa-,to exist,v,5.5.5,
ma,something,pron,5.5.5,
mo,someone,pron,5.5.5,
ná-,to be,v,5.5.5,
naitë,TRUE,adj,5.5.5,
naitië,"indeed, truely",adv,5.5.5,
nat,thing,n,5.5.5,
ola-,"to become, grow",v,5.5.5,
ú,not,adv,5.5.5,
ui,no,interj,5.5.5,
ui-,to not be,v,5.5.5,
vá(n),(I) won't,interj,5.5.5,
váquet-,to forbid,v,5.5.5,
lá,"no, not",adv,5.5.5,
lá-,to not be,v,5.5.5,
alkar,glory,n,5.5.5,
arya,"excelling, better",adj,5.5.5,
laita-,to praise,v,5.5.5,
loima,mistake,n,5.5.5,
mai,well,adv,5.5.5,
maira,"admirable, excellent",adj,5.5.5,
manë,good (moral),adj,5.5.5,
mára,"good, useful",adj,5.5.5,
márië,"well, happily; goodness, happiness","adv, n",5.5.5,
raxë,danger,n,5.5.5,
ulka,evil,adj,5.5.5,
urra,bad,adj,5.5.5,
úvanima,ugly,adj,5.5.5,
vanima,beautiful,adj,5.5.5,
verya-,to dare,v,5.5.5,
verya,"brave, bold",adj,5.5.5,
voronda,"faithful, loyal",adj,5.5.5,
kendë,point,n,5.6,
-inkë (-ikkë),little,suf,5.6,
linda,"soft, gentle, light",adj,5.6,
lissë,sweet,adj,5.6,
miquë,kiss,n,5.6,
nië,tear,n,5.6,
nieninquë,snowdrop,n,5.6,
sana,that (previously mentioned),adj,5.6,
ta,that,pron,5.6,
tanna,thither,adv,5.6,
káno,commander,n,6.1.4,
kastol,helmet,n,6.1.4,
kosta-,to quarrel,v,6.1.4,
kotto,enemy,n,6.1.4,
ehtë (ehti-),spear,n,6.1.4,
hesto,captain,n,6.1.4,
makil,sword,n,6.1.4,
mahta-,"to handle, wield; to fight",v,6.1.4,
ohta,war,n,6.1.4,
rainë,peace,n,6.1.4,
rehta-,"to rescue, save",v,6.1.4,
roquen,"rider, knight",n,6.1.4,
sanda,shield,n,6.1.4,
tur-,"to conquer, rule",v,6.1.4,
turu-,"to master, defeat",v,6.1.4,
varna,"safe, protected",adj,6.1.4,
varya-,to protect,v,6.1.4,
aiwë,bird,n,6.2.2,
alqua,swan,n,6.2.2,
ango (angu-),snake,n,6.2.2,
huo,dog,n,6.2.2,
laman (lamn-),animal,n,6.2.2,
leuka,snake,n,6.2.2,
lingwë (lingwi-),fish,n,6.2.2,
lopoldë,rabbit,n,6.2.2,
máma,sheep,n,6.2.2,
miuë (miuy-),cat,n,6.2.2,
morko,bear,n,6.2.2,
mundo,bull,n,6.2.2,
nyarro,rat,n,6.2.2,
ohtë,egg,n,6.2.2,
porokë,chicken,n,6.2.2,
quákë,frog,n,6.2.2,
ráka,wolf,n,6.2.2,
rauro,lion,n,6.2.2,
rokko,horse,n,6.2.2,
soron (sorn-),eagle,n,6.2.2,
urulókë,(fire) dragon,n,6.2.2,
yaxë,cow,n,6.2.2,
epë,after (time); before (place),prep,6.3.4,
illumë,always,adv,6.3.4,
lú,"time, occasion",n,6.3.4,
lúmë,"(period of) time, hour",n,6.3.4,
metta,"ending, end",n,6.3.4,
né,ago,adv,6.3.4,
nessa,young,adj,6.3.4,
nó,before (time); at back of (place),prep,6.3.4,
oialë,forever,adv,6.3.4,
pusta-,to stop,v,6.3.4,
ron(go),soon,adv,6.3.4,
sí,now,adv,6.3.4,
tá,then,adv,6.3.4,
telya-,to finish,v,6.3.4,
ter,through,prep,6.3.4,
tulma,event,n,6.3.4,
vinya,"new, young",adj,6.3.4,
yára,old,adj,6.3.4,
yesta,beginning,n,6.3.4,
amba,more,adj,6.4.4,
ambë,more,adv,6.4.4,
kumma,empty,adj,6.4.4,
fárëa,enough,adj,6.4.4,
eressëa,lonely,adj,6.4.4,
ilya,"every, each",adj,6.4.4,
ilyë,all (pl.),adj,6.4.4,
métima,"last, ultimate",adj,6.4.4,
not-,to count,v,6.4.4,
nótë,number,n,6.4.4,
quanta,full,adj,6.4.4,
quanta-,to fill,v,6.4.4,
rië,only,adv,6.4.4,
rimbë,"host, crowd",n,6.4.4,
telda,"last, final",adj,6.4.4,
min,one,num,6.5.1,
atta,two,num,6.5.1,
neldë,three,num,6.5.1,
kanta,four,num,6.5.1,
lempë,five,num,6.5.1,
enquë,six,num,6.5.1,
otso,seven,num,6.5.1,
toldo,eight,num,6.5.1,
nertë,nine,num,6.5.1,
quëan,ten,num,6.5.1,
minquë,eleven,num,6.5.1,
yunquë,twelve,num,6.5.1,
er,"one, alone","adj, adv",6.5.1,
yúyo,both,adj,6.5.1,
minya,first,num,6.5.2,
attëa,second,num,6.5.2,
neldëa,third,num,6.5.2,
otsëa,seventh,num,6.5.2,
quainëa,tenth,num,6.5.2,
nelquë,thirteen,num,6.5.3,
kanquë,fourteen,num,6.5.3,
lepenquë,fifteen,num,6.5.3,
enenquë,sixteen,num,6.5.3,
otoquë,seventeen,num,6.5.3,
tolquë,eighteen,num,6.5.3,
neterquë,nineteen,num,6.5.3,
yuquain,twenty,num,6.5.3,
nelquain,thirty,num,6.5.3,
kanquain,forty,num,6.5.3,
lepenquain,fifty,num,6.5.3,
enquain,sixty,num,6.5.3,
otoquain,seventy,num,6.5.3,
tolquain,eighty,num,6.5.3,
neterquain,ninety,num,6.5.3,
enyalië,memory,n,6.6,
mahalma,throne,n,6.6,
sina,this,adj,6.6,
tennoio,forever(more),adv,6.6,
termar-,"to endure, last",v,6.6,
vanda,oath,n,6.6,
voronda,"faithful, loyal",adj,6.6,
voronwë,"faith, loyalty",n,6.6,
alfírima,immortal,adj,7.1.4,
koita-,to live (is alive),v,7.1.4,
fir-,to die (naturally),v,7.1.4,
fírië,(natural) death,n,7.1.4,
firin,dead (naturally),adj,7.1.4,
lor-,to sleep,v,7.1.4,
lórë,sleep,n,7.1.4,
nahta-,to slay,v,7.1.4,
óla-,to dream (impersonal),v,7.1.4,
onta-,"to beget, create",v,7.1.4,
qual-,to die,v,7.1.4,
qualin,dead,adj,7.1.4,
qualmë,death (agony),n,7.1.4,
olor,dream,n,7.1.4,
quel-,to fade,v,7.1.4,
ser-,"to rest, tarry",v,7.1.4,
sérë,"rest, repose",n,7.1.4,
karka,fang,n,7.2.4,
fara-,to hunt,v,7.2.4,
faralë,hunt,n,7.2.4,
farna,prey,n,7.2.4,
hlik-,"to creep, sneak",v,7.2.4,
norta-,"to ride, (lit.) make run",v,7.2.4,
nurta-,to hide,v,7.2.4,
pilin (pilind-),arrow,n,7.2.4,
pimpë,tail,n,7.2.4,
pol-,"can, to be able to",v,7.2.4,
quessë,feather,n,7.2.4,
quinga,bow (for shooting),n,7.2.4,
ráma,wing,n,7.2.4,
rassë,horn,n,7.2.4,
rembë,net,n,7.2.4,
remba-,"to net, trap",v,7.2.4,
roita-,"to pursue, chase",v,7.2.4,
ronyo,hunting dog,n,7.2.4,
ana,"to, towards",prep,7.3.7,
ara,"beside, next to, by",prep,7.3.7,
endë,centre,n,7.3.7,
endëa,middle,adj,7.3.7,
et,out (of),prep,7.3.7,
imbë,between,prep,7.3.7,
imbi,among (pl.),prep,7.3.7,
inga,top,n,7.3.7,
mi,in,prep,7.3.7,
minna,into,prep,7.3.7,
nómë,place,n,7.3.7,
nu,under,prep,7.3.7,
ó,(together) with,prep,7.3.7,
or,above,prep,7.3.7,
sinomë,"here, this place",adv,7.3.7,
sundo,"base, root",n,7.3.7,
tanomë,"there, that place",adv,7.3.7,
tára,"high, lofty",adj,7.3.7,
tárië,height,n,7.3.7,
tel (teld-),end (spatial),n,7.3.7,
tellë,rear,n,7.3.7,
tillë,"tip, point",n,7.3.7,
tumna,low,adj,7.3.7,
an,for,conj,7.4.3,
ar,and,conj,7.4.3,
i,the,article,7.4.3,
i,"who, what, which (relative pronoun)",pron,7.4.3,
hya,or,conj,7.4.3,
mal,but,conj,7.4.3,
násië,"amen, may it be so",adv,7.4.3,
sië,thus,adv,7.4.3,
úsië,on the contrary,adv,7.4.3,
ya,"that, which (relative pronoun)",pron,7.4.3,
yá,when,conj,7.4.3,
ye,"who, that (personal relative)",pron,7.4.3,
yo,both ... and,conj,7.4.3,
yú,"too, also",adv,7.4.3,
ataformaitë,ambidextrous,adj,7.5,
ké,if,conj,7.5,
kendelë,"face, visage",n,7.5,
epetai,consequently,conj,7.5,
hyarma,left-hand,n,7.5,
quer-,to turn,v,7.5,
senya,usual,adj,7.5,
síma,imagination,n,7.5,
tenta-,to point,v,7.5,
kar-,"to do, make",v,8.1.9,
karda,"deed, action",n,8.1.9,
kúna-,to bend,v,8.1.9,
mólë,"labour, work",n,8.1.9,
móta-,to work,v,8.1.9,
niqu-,"to be cold, freeze",v,8.1.9,
nut-,to tie,v,8.1.9,
pella,beyond (the boundary of),prep,8.1.9,
rak-,to break,v,8.1.9,
sulpa-,to lay up,v,8.1.9,
tamba-,to knock,v,8.1.9,
tengwa-,to read (writing),v,8.1.9,
tuk-,to pull,v,8.1.9,
tyar-,to cause,v,8.1.9,
tyaro,"doer, agent",n,8.1.9,
man,who,pron,8.2.1,
mana,"what, which",pron,8.2.1,
massë,where,adv,8.2.1,
manna,whither,adv,8.2.1,
mallo,whence,adv,8.2.1,
manen,how,adv,8.2.1,
malumë,when,adv,8.2.1,
manan,why,adv,8.2.1,
kesta-,to ask,v,8.2.2,
hanquenta,answer,n,8.2.2,
hanquet-,to answer,v,8.2.2,
maquet-,to question,v,8.2.2,
aistana,blessed,adj,8.2.4,
alassë,happiness,n,8.2.4,
alassëa,happy,adj,8.2.4,
almë,good fortune,n,8.2.4,
avalda,excited,adj,8.2.4,
estel,"hope, faith",n,8.2.4,
fasta-,to please,v,8.2.4,
felmë,emotion,n,8.2.4,
hórëa,impulsive,adj,8.2.4,
írë,desire,n,8.2.4,
lala-,to laugh,v,8.2.4,
mel-,to love (deeply),v,8.2.4,
melda,"dear, beloved",adj,8.2.4,
melmë,love,n,8.2.4,
mer-,"to hope, wish, want",v,8.2.4,
miqu-,to kiss,v,8.2.4,
miquë,kiss,n,8.2.4,
nilmë,friendship,n,8.2.4,
raita-,to smile,v,8.2.4,
tyal-,to play,v,8.2.4,
yermë,sexual desire,n,8.2.4,
aha,rage,n,8.3.3,
hráva,wild,adj,8.3.3,
mailëa,lustful,adj,8.3.3,
naika,painful,adj,8.3.3,
naikë,pain,n,8.3.3,
naina-,to lament,v,8.3.3,
nairë,sorrow,n,8.3.3,
nairëa,"sad, sorrowful",adj,8.3.3,
nië,tear (from crying),n,8.3.3,
nwalmë,torment,n,8.3.3,
raiqua,angry,adj,8.3.3,
ruhta-,to terrify,v,8.3.3,
sossë,fear,n,8.3.3,
sorya-,to be afraid,v,8.3.3,
tev-,to hate,v,8.3.3,
uhta-,to dislike,v,8.3.3,
yarra-,to growl,v,8.3.3,
ai,"ah, alas",interj,8.4,
oromar (oromard-),lofty hall,n,8.4,
